freq (Hz),Gain (dB),Phase (degC)
283139.1996,-8.135733741,62.70349482
287078.0582,-8.272932716,62.33936067
291071.7118,-8.410492794,61.97113182
295120.9227,-8.548424855,61.59876663
299226.4637,-8.686740045,61.22222472
303389.1184,-8.825449781,60.84146702
307609.6815,-8.96456574,60.45645588
311888.9584,-9.104099854,60.06715515
316227.766,-9.244064313,59.67353026
320626.9325,-9.384471548,59.2755483
325087.2974,-9.525334235,58.87317809
329609.7122,-9.666665281,58.46639027
334195.04,-9.80847782,58.0551574
338844.1561,-9.950785203,57.63945402
343557.9479,-10.09360099,57.21925672
348337.315,-10.23693895,56.79454423
353183.1698,-10.38081301,56.36529751
358096.4371,-10.52523733,55.9314998
363078.0548,-10.67022617,55.4931367
368128.9736,-10.81579401,55.05019625
373250.1578,-10.96195542,54.60266898
378442.5847,-11.10872513,54.150548
383707.2455,-11.25611797,53.69382902
389045.145,-11.40414887,53.23251047
394457.3021,-11.55283285,52.76659349
399944.7498,-11.70218499,52.29608202
405508.5354,-11.85222041,51.82098282
411149.7211,-12.0029543,51.34130553
416869.3835,-12.15440183,50.85706272
